input,target
1085. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
1086. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
1087. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
1088. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"1089. У меня есть младший брат, ему 60 лет","У меня есть младший брат, ему 60 лет"
1090. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"1091. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"1092. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
1093. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
1094. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
1095. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
1096. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"1097. У меня есть младшая сестра, ей 57 лет","У меня есть младшая сестра, ей 57 лет"
1098. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
1099. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"1100. Я люблю есть шашлыки, особенно из курицы","Я люблю есть шашлыки, особенно из курицы"
1101. У меня есть домашнее задание по химии,У меня есть домашнее задание по химии
1102. Сегодня я буду делать презентацию по географии,Сегодня я буду делать презентацию по географии
"1103. Мой друг имеет кота, его зовут Вася","Мой друг имеет кота, его зовут Вася"
1104. Я люблю играть в футбол с друзьями,Я люблю играть в футбол с друзьями
"1105. У меня есть бабушка, она очень добрая","У меня есть бабушка, она очень добрая"
1106. Сегодня я пойду в библиотеку с семьей,Сегодня я пойду в библиотеку с семьей
1107. Мне нравится смотреть фильмы про комедию,Мне нравится смотреть фильмы про комедию
"1108. Я люблю есть пиццу, особенно с pepperoni","Я люблю есть пиццу, особенно с pepperoni"
1109. У меня есть домашняя работа по биологии,У меня есть домашняя работа по биологии
1110. Сегодня я буду делать проект по истории,Сегодня я буду делать проект по истории
1111. Мой любимый сезон - осень,Мой любимый сезон - осень
1112. Я люблю кататься на велосипеде по городу,Я люблю кататься на велосипеде по городу
"1113. У меня есть младший брат, ему 61 лет","У меня есть младший брат, ему 61 лет"
1114. Сегодня я пойду в зоопарк с друзьями,Сегодня я пойду в зоопарк с друзьями
"1115. Мне нравится слушать музыку, особенно поп-музыку","Мне нравится слушать музыку, особенно поп-музыку"
"1116. Я люблю есть суши, особенно с лососем","Я люблю есть суши, особенно с лососем"
1117. У меня есть домашнее задание по английскому языку,У меня есть домашнее задание по английскому языку
1118. Сегодня я буду делать презентацию по науке,Сегодня я буду делать презентацию по науке
"1119. Мой друг имеет собаку, ее зовут Дина","Мой друг имеет собаку, ее зовут Дина"
1120. Я люблю играть в шахматы с друзьями,Я люблю играть в шахматы с друзьями
"1121. У меня есть бабушка, она очень мудрая","У меня есть бабушка, она очень мудрая"
1122. Сегодня я пойду в парк с семьей,Сегодня я пойду в парк с семьей
1123. Мне нравится читать книги про фэнтези,Мне нравится читать книги про фэнтези
"1124. Я люблю есть морепродукты, особенно креветки","Я люблю есть морепродукты, особенно креветки"
1125. У меня есть домашнее задание по информатике,У меня есть домашнее задание по информатике
1126. Сегодня я буду смотреть фильм про детектив,Сегодня я буду смотреть фильм про детектив
1127. Мой любимый спорт - баскетбол,Мой любимый спорт - баскетбол
1128. Я люблю играть в видеоигры с друзьями,Я люблю играть в видеоигры с друзьями
"1129. У меня есть младший брат, ему 62 лет","У меня есть младший брат, ему 62 лет"
1130. Сегодня я пойду в бассейн с семьей,Сегодня я пойду в бассейн с семьей
"1131. Мне нравится слушать музыку, особенно классику","Мне нравится слушать музыку, особенно классику"
"1132. Я люблю есть торты, особенно с клубникой","Я люблю есть торты, особенно с клубникой"
1133. У меня есть домашняя работа по математике,У меня есть домашняя работа по математике
1134. Сегодня я буду делать проект по экологии,Сегодня я буду делать проект по экологии
1135. Мой любимый предмет в школе - физика,Мой любимый предмет в школе - физика
1136. Я люблю кататься на коньках зимой,Я люблю кататься на коньках зимой
"1137. У меня есть младшая сестра, ей 59 лет","У меня есть младшая сестра, ей 59 лет"
1138. Сегодня я пойду в магазин с папой,Сегодня я пойду в магазин с папой
1139. Мне нравится читать книги про приключения,Мне нравится читать книги про приключения
"1140. Я люблю есть шашлыки, особенно из курицы",Я люб
